School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,1,0,0,1
Arcado ES,1,0,0,1
Britt ES,1,0,0,1
Camp Creek ES,11,0,1,12
Corley ES,1,0,0,1
Discovery HS,3,0,0,3
Five Forks MS,1,0,0,1
Fort Daniel ES,2,0,0,2
Knight ES,1,0,1,2
Magill ES,4,1,0,5
McClure Health Science HS,1,0,1,2
McConnell MS,1,0,0,1
McKendree ES,0,1,0,1
Mill Creek HS,1,0,0,1
Mountain View HS,1,0,0,1
Oakland Meadow School,1,0,0,1
Osborne MS,45,2,0,47
Patrick ES,3,0,0,3
Paul Duke STEM HS,0,1,0,1
Peachtree ES,9,0,2,11
Puckett's Mill ES,2,0,0,2
Trickum MS,1,0,0,1
Winn Holt ES,9,1,0,10
