School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,0,0,0
Alford ES,1,0,0,1
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,1,0,0,1
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,0,0,0,0
Bay Creek MS,0,0,1,1
Beaver Ridge ES,0,0,0,0
Benefield ES,0,0,1,1
Berkeley Lake ES,1,1,0,2
Berkmar HS,0,0,0,0
Berkmar MS,0,0,1,1
Bethesda ES,0,0,0,0
Britt ES,1,0,0,1
Brookwood ES,4,0,0,4
Brookwood HS,19,1,0,20
Buice Center,0,0,0,0
Burnette ES,0,0,0,0
Camp Creek ES,13,0,1,14
Cedar Hill ES,1,0,0,1
Centerville ES,6,0,1,7
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,1,0,0,1
Chesney ES,0,0,0,0
Coleman MS,0,0,0,0
Collins Hill HS,0,0,0,0
Cooper ES,28,1,1,30
Corley ES,2,1,0,3
Couch MS,0,0,0,0
Craig ES,7,0,0,7
Creekland MS,0,0,0,0
Crews MS,1,0,0,1
Dacula ES,1,2,0,3
Dacula HS,0,0,0,0
Dacula MS,1,0,0,1
Discovery HS,4,2,0,6
Duluth HS,0,0,0,0
Duluth MS,1,0,3,4
Duncan Creek ES,4,0,0,4
Dyer ES,0,0,0,0
Ferguson ES,0,0,0,0
Five Forks MS,1,0,0,1
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,2,2
Grace Snell MS,0,0,1,1
Graves ES,1,1,0,2
Grayson ES,0,0,0,0
Grayson HS,0,2,0,2
Gwin Oaks ES,4,0,0,4
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,0,0,0,0
Harmony ES,0,0,0,0
Harris ES,3,0,1,4
Head ES,10,1,0,11
Hopkins ES,0,0,0,0
Hull MS,1,0,1,2
International Transition Center,0,0,0,0
Ivy Creek ES,2,0,0,2
Jackson ES,5,0,0,5
Jenkins ES,0,1,0,1
Jones MS,0,0,0,0
Jordan MS,0,0,0,0
Kanoheda ES,0,0,0,0
Knight ES,6,1,1,8
Lanier HS,22,0,2,24
Lanier MS,0,0,0,0
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,0,0,0,0
Lilburn MS,0,0,0,0
Lovin ES,1,0,0,1
Magill ES,16,1,0,17
Mason ES,0,0,0,0
Maxwell,0,0,0,0
McClure Health Science HS,1,0,1,2
McConnell MS,3,0,0,3
McKendree ES,0,1,0,1
Meadowcreek ES,0,0,0,0
Meadowcreek HS,0,0,1,1
Mill Creek HS,16,4,0,20
Minor ES,0,0,0,0
Moore MS,0,0,0,0
Mountain Park ES,2,0,0,2
Mountain View HS,4,0,2,6
Mulberry ES,0,0,0,0
Nesbit ES,0,0,0,0
Norcross ES,0,0,0,0
Norcross HS,0,0,0,0
North Gwinnett HS,0,0,1,1
North Gwinnett MS,0,0,0,0
Northbrook MS,33,2,1,36
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,97,4,0,101
Parkview HS,0,0,0,0
Parsons ES,2,1,0,3
Partee ES,0,0,0,0
Patrick ES,2,0,0,2
Paul Duke STEM HS,0,0,0,0
Peachtree ES,12,0,2,14
Peachtree Ridge HS,1,1,0,2
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,2,1,1,4
Puckett's Mill ES,7,0,0,7
Radloff MS,0,0,0,0
Richards MS,0,1,0,1
Riverside ES,0,0,0,0
Roberts ES,0,0,0,0
Rock Springs ES,0,0,0,0
Rockbridge ES,0,0,0,0
Rosebud ES,0,0,0,0
Shiloh ES,0,0,0,0
Shiloh HS,0,0,0,0
Shiloh MS,1,0,0,1
Simonton ES,0,0,0,0
Simpson ES,1,0,0,1
Snellville MS,0,0,0,0
South Gwinnett HS,0,0,0,0
Starling ES,0,0,0,0
Stripling ES,1,0,2,3
Sugar Hill ES,0,0,0,0
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,1,0,0,1
Taylor ES,0,0,0,0
Trickum MS,1,0,0,1
Trip ES,1,0,0,1
Twin Rivers MS,5,0,0,5
Walnut Grove ES,0,0,0,0
White Oak ES,4,0,0,4
Winn Holt ES,9,1,0,10
Woodward Mill ES,3,0,0,3
